event_id,client,t_target_ns,t_wake_ns,t_send_ns,t_after_produce_ns,wake_late_ms,produce_ms
1ea7e806-c0fc-48a8-829a-af9ea7b3aa73,redis-py,1784865700538600312,1784865700540954414,1784865700540966622,1784865700540973983,2.354102,0.007361
e8cfafef-37c7-4e00-be7f-4bee056a1e72,redis-py,1784865704538760318,1784865704542801578,1784865704542856942,1784865704542900729,4.04126,0.043787
2a4589ee-8a60-4838-bb5f-949f057a46be,redis-py,1784865705538800320,1784865705539835181,1784865705539878457,1784865705539916134,1.034861,0.037677
fe0f397f-f5e0-4759-9e45-af76f196daa7,redis-py,1784865705538800320,1784865705540149170,1784865705540162210,1784865705540170112,1.34885,0.007902
c5a4b0aa-b03e-4e82-a80a-ea91e7ecf394,redis-py,1784865706538840321,1784865706539880647,1784865706539926987,1784865706539964334,1.040326,0.037347
6c237c16-6750-4dc1-9995-bd07debf26c1,redis-py,1784865707538880323,1784865707539918620,1784865707539963749,1784865707540001827,1.038297,0.038078
587dfd13-6676-4362-a28f-be1edea9a6c6,redis-py,1784865707538880323,1784865707540225598,1784865707540237757,1784865707540244978,1.345275,0.007221
5f38e18f-86ae-43b3-a606-39c39db57cee,redis-py,1784865708538920325,1784865708539965184,1784865708540011955,1784865708540048991,1.044859,0.037036
4d769c60-6b01-42c7-ba36-1565e549eae8,redis-py,1784865709538960326,1784865709540005165,1784865709540057584,1784865709540122824,1.044839,0.06524
c241d9b6-58dd-4ea2-8b5e-16e7aef4e822,redis-py,1784865709538960326,1784865709540350822,1784865709540363431,1784865709540370682,1.390496,0.007251
f1de8ed7-dd06-4972-8198-fc3268ff24cf,redis-py,1784865710539000328,1784865710540043965,1784865710540112310,1784865710540156337,1.043637,0.044027
a8d82eb3-1443-4b6d-b31d-5118f044f4bc,redis-py,1784865710539000328,1784865710540362291,1784865710540375471,1784865710540382652,1.361963,0.007181
0376753a-5e29-4cd4-a4d7-008663a3ef13,redis-py,1784865711539040329,1784865711540098278,1784865711540151010,1784865711540187324,1.057949,0.036314
d8fa0a0f-dbd5-4d56-849d-e542d0f4c863,redis-py,1784865712539080331,1784865712540117264,1784865712540170715,1784865712540208363,1.036933,0.037648
4365972f-a6eb-41f4-8405-84a44f9c3f15,redis-py,1784865712539080331,1784865712540403010,1784865712540414648,1784865712540422079,1.322679,0.007431
e9349458-19c1-433d-a74b-514a898592ca,redis-py,1784865713539120333,1784865713540172428,1784865713540218858,1784865713540257017,1.052095,0.038159
05cd20fa-12bd-4596-bee5-f161b155bfcc,redis-py,1784865716539240337,1784865716542283140,1784865716542336532,1784865716542380248,3.042803,0.043716
c5f54ab2-8a92-40ea-8281-2ef5c18edb30,redis-py,1784865716539240337,1784865716542603469,1784865716542615047,1784865716542622227,3.363132,0.00718
edee64bb-b610-4ca3-ae10-9c2b105e12c6,redis-py,1784865716539240337,1784865716542667646,1784865716542676110,1784865716542681668,3.427309,0.005558
2b9c84e1-253a-4b23-ade6-906d178e7dbf,redis-py,1784865717539280339,1784865717540322659,1784865717540369801,1784865717540406156,1.04232,0.036355
