t_wall,rho,loadavg
1784958232.9753296,0.80597,6.46
1784958233.476143,0.7975,6.46
1784958233.9768877,0.8075,6.46
1784958234.478286,0.8005,6.46
1784958234.979076,0.79302,6.46
1784958235.4798782,0.81546,6.46
1784958235.9812713,0.798,6.46
1784958236.482162,0.798,6.46
1784958236.9829931,0.80151,6.46
1784958237.48527,0.81095,6.42
1784958237.9860919,0.801,6.42
1784958238.48714,0.8,6.42
1784958238.9879243,0.805,6.42
1784958239.4882846,0.8,6.42
1784958239.9902613,0.798,6.42
1784958240.4910336,0.81047,6.42
1784958240.991826,0.7975,6.42
1784958241.4942715,0.80397,6.42
1784958241.9950464,0.7975,6.39
1784958242.4959059,0.80549,6.39
1784958242.996722,0.80549,6.39
1784958243.499277,0.80446,6.39
1784958244.0001516,0.7995,6.39
1784958244.5009396,0.79551,6.39
1784958245.0012815,0.81,6.39
1784958245.5020878,0.80201,6.39
1784958246.0028732,0.79602,6.39
1784958246.503644,0.80299,6.39
1784958247.0042906,0.8025,6.52
1784958247.5072951,0.80348,6.52
1784958248.0080779,0.79449,6.52
1784958248.5087972,0.81095,6.52
1784958249.0092602,0.80299,6.52
1784958249.5100534,0.79551,6.52
1784958250.0108416,0.80451,6.52
1784958250.5142555,0.80597,6.52
1784958251.0151,0.8005,6.52
1784958251.515856,0.8005,6.52
1784958252.0162568,0.8075,6.47
1784958252.5170329,0.80201,6.47
1784958253.0202389,0.79901,6.47
1784958253.5210538,0.80451,6.47
1784958254.0218542,0.8005,6.47
1784958254.5222616,0.8,6.47
1784958255.024249,0.80597,6.47
1784958255.5250287,0.80201,6.47
1784958256.0257838,0.8,6.47
1784958256.5265145,0.80299,6.47
1784958257.0302458,0.80446,6.2
1784958257.5312555,0.8005,6.2
1784958258.0342898,0.801,6.2
1784958258.5351038,0.81047,6.2
1784958259.035879,0.795,6.2
1784958259.5372822,0.79653,6.2
1784958260.0380604,0.80952,6.2
1784958260.5392578,0.798,6.2
1784958261.0402687,0.8005,6.2
1784958261.5410595,0.80653,6.2
1784958262.0442474,0.79653,6.26
1784958262.5450366,0.8025,6.26
1784958263.0458272,0.80798,6.26
1784958263.5466082,0.795,6.26
1784958264.0473907,0.80397,6.26
1784958264.5482743,0.805,6.26
1784958265.0490913,0.80702,6.26
1784958265.5502717,0.79851,6.26
1784958266.0532632,0.8005,6.26
1784958266.5540466,0.8,6.26
1784958267.0548453,0.805,6.4
1784958267.5552442,0.8005,6.4
1784958268.0559862,0.798,6.4
1784958268.556767,0.80798,6.4
1784958269.0572517,0.8,6.4
1784958269.5580106,0.8,6.4
1784958270.0587883,0.8005,6.4
1784958270.5592732,0.8075,6.4
1784958271.0602593,0.801,6.4
1784958271.5612502,0.7975,6.4
1784958272.0622306,0.81047,6.37
1784958272.5632553,0.7925,6.37
1784958273.0642548,0.80597,6.37
1784958273.5652547,0.80299,6.37
1784958274.0673053,0.80299,6.37
1784958274.5681186,0.8025,6.37
1784958275.068907,0.79551,6.37
1784958275.5696738,0.805,6.37
1784958276.071247,0.80348,6.37
1784958276.5719972,0.80201,6.37
1784958277.072747,0.8005,6.42
