row_idx,match_id,event_id,period,minute,second,t_sim_seconds,t_emit_offset_s,event_type,team,player,timestamp,possession
963,3895107,cc01fae9-f8df-4837-be7c-fe9e3e6b2fc6,1,20,55,1255,10.458333333333334,Carry,Bayer Leverkusen,Victor Okoh Boniface,00:20:55.024,44
964,3895107,8a05b548-dd01-4f58-afa4-1e4676af4e0b,1,20,57,1257,10.475,Pressure,FC Köln,Timo Hübers,00:20:57.467,44
965,3895107,18fd8754-b395-4a8a-abcd-8537990d8136,1,20,57,1257,10.475,Dribble,Bayer Leverkusen,Victor Okoh Boniface,00:20:57.991,44
966,3895107,ccb1bae9-0eaa-4ed8-980c-67f43b8665a0,1,20,57,1257,10.475,Duel,FC Köln,Timo Hübers,00:20:57.991,44
967,3895107,03e208b7-81a6-4519-83fd-5b7fb49c8295,1,20,58,1258,10.483333333333333,Ball Recovery,Bayer Leverkusen,Victor Okoh Boniface,00:20:58.935,44
968,3895107,c3e8a70f-e05d-40e2-b39c-7ec75658b792,1,20,58,1258,10.483333333333333,Carry,Bayer Leverkusen,Victor Okoh Boniface,00:20:58.935,44
969,3895107,4a1d4d54-8ad1-479c-a548-c17553528080,1,20,59,1259,10.491666666666667,Pressure,FC Köln,Eric Martel,00:20:59.271,44
970,3895107,95ed3620-2987-4280-82d5-1a58064ddce9,1,20,59,1259,10.491666666666667,Pass,Bayer Leverkusen,Victor Okoh Boniface,00:20:59.851,44
971,3895107,5e450880-d864-439b-8f20-42570fd7dab0,1,21,0,1260,10.5,Ball Receipt*,Bayer Leverkusen,Alejandro Grimaldo García,00:21:00.992,44
972,3895107,dd0e1223-2aab-4eef-96d8-aff635f9d7ca,1,21,0,1260,10.5,Carry,Bayer Leverkusen,Alejandro Grimaldo García,00:21:00.992,44
973,3895107,f37ed75a-2f29-44c9-8833-83a0df631458,1,21,1,1261,10.508333333333333,Pass,Bayer Leverkusen,Alejandro Grimaldo García,00:21:01.133,44
974,3895107,23fce6b3-d789-4ad5-bff0-8c84769c0123,1,21,1,1261,10.508333333333333,Pressure,FC Köln,Julian Chabot,00:21:01.557,44
975,3895107,e41b2a3f-9a0b-481f-b146-4d7e72a04f5a,1,21,1,1261,10.508333333333333,Ball Receipt*,Bayer Leverkusen,Florian Wirtz,00:21:01.975,44
976,3895107,9eb29139-8f18-448d-844e-55fb75062ffd,1,21,1,1261,10.508333333333333,Carry,Bayer Leverkusen,Florian Wirtz,00:21:01.975,44
977,3895107,84c226fb-7b4e-4a3b-bf27-7799ca9e7086,1,21,2,1262,10.516666666666667,Pass,Bayer Leverkusen,Florian Wirtz,00:21:02.053,44
978,3895107,ed53bbd5-89ea-43cd-8e5d-3bc79bd1b6ca,1,21,2,1262,10.516666666666667,Ball Receipt*,Bayer Leverkusen,Jonas Hofmann,00:21:02.759,44
979,3895107,e0dada79-fcfb-4294-aa8e-18116ec67027,1,21,2,1262,10.516666666666667,Shot,Bayer Leverkusen,Jonas Hofmann,00:21:02.826,44
980,3895107,c58a531b-1482-4677-b816-030eac03137d,1,21,3,1263,10.525,Goal Keeper,FC Köln,Marvin Schwäbe,00:21:03.656,44
981,3895107,ef95d29e-4db8-431a-b25a-dc2069c28d3f,1,22,46,1366,11.383333333333333,Bad Behaviour,Bayer Leverkusen,Jeremie Frimpong,00:22:46.278,44
982,3895107,d07e28e3-4baf-4e01-93fb-399a98f23888,1,23,41,1421,11.841666666666667,Pass,FC Köln,Davie Selke,00:23:41.404,45
983,3895107,b3a381c3-18f7-4bc1-9896-d8206deea317,1,23,43,1423,11.858333333333333,Pressure,Bayer Leverkusen,Jonas Hofmann,00:23:43.951,45
984,3895107,382c8a31-b72c-4efd-8435-1faca55f8220,1,23,44,1424,11.866666666666667,Ball Receipt*,FC Köln,Eric Martel,00:23:44.113,45
985,3895107,b6b67bf9-7a8c-464f-b0ec-770dc1646586,1,23,44,1424,11.866666666666667,Carry,FC Köln,Eric Martel,00:23:44.113,45
986,3895107,3d61be50-dbc8-44d8-a85a-a30c8b260330,1,23,44,1424,11.866666666666667,Pass,FC Köln,Eric Martel,00:23:44.157,45
