n_events,duration_s,mean_rate_evs,peak_rate_evs,gap_p50_s,gap_p05_s,gap_min_s,burstiness,match_id,competition_name,season_name,gender,season_start_year
3132,8466.0,0.369950389794472,2.6,1.0,0.0,1.0,7.0279693486590045,3754096,Premier League,2015/2016,male,2015
3780,8429.0,0.44845177363862854,2.9,1.0,0.0,1.0,6.466693121693122,3754097,Premier League,2015/2016,male,2015
3783,8579.0,0.44096048490500056,3.2,1.0,0.0,1.0,7.256886069257204,3754098,Premier League,2015/2016,male,2015
3070,8476.0,0.36219915054270885,2.8,1.0,0.0,1.0,7.730553745928338,3754099,Premier League,2015/2016,male,2015
3138,8501.0,0.3691330431713916,2.8,1.0,0.0,1.0,7.585340981516889,3754100,Premier League,2015/2016,male,2015
3220,8343.0,0.3859522953374086,3.1,1.0,0.0,1.0,8.032080745341615,3754101,Premier League,2015/2016,male,2015
3307,8465.0,0.3906674542232723,2.6,1.0,0.0,1.0,6.655276685817962,3754102,Premier League,2015/2016,male,2015
4012,8526.0,0.47056063804832277,3.0,1.0,0.0,1.0,6.375373878364906,3754103,Premier League,2015/2016,male,2015
3225,8469.0,0.3808005667729366,2.5,1.0,0.0,1.0,6.565116279069767,3754104,Premier League,2015/2016,male,2015
3346,8532.0,0.3921706516643225,2.7,1.0,0.0,1.0,6.884757919904365,3754105,Premier League,2015/2016,male,2015
3347,8713.0,0.38413864340640425,2.9,1.0,0.0,1.0,7.549357633701822,3754106,Premier League,2015/2016,male,2015
3677,8377.0,0.43893995463769847,2.5,1.0,0.0,1.0,5.695539842262714,3754107,Premier League,2015/2016,male,2015
3537,8664.0,0.4082409972299169,2.8,1.0,0.0,1.0,6.858693808312128,3754108,Premier League,2015/2016,male,2015
3489,8347.0,0.4179944890379777,3.0,1.0,0.0,1.0,7.177128116938952,3754109,Premier League,2015/2016,male,2015
3478,8521.0,0.40816805539255957,2.5,1.0,0.0,1.0,6.12492811960897,3754110,Premier League,2015/2016,male,2015
3741,8481.0,0.4411036434382738,2.6,1.0,0.0,1.0,5.894306335204491,3754111,Premier League,2015/2016,male,2015
3368,8536.0,0.39456419868791004,2.3,1.0,0.0,1.0,5.829216152019002,3754112,Premier League,2015/2016,male,2015
3398,8638.0,0.3933780967816624,2.3,1.0,0.0,1.0,5.846792230723955,3754113,Premier League,2015/2016,male,2015
3783,8437.0,0.44838212634822805,2.8,1.0,0.0,1.0,6.2446735395188995,3754114,Premier League,2015/2016,male,2015
3332,8411.0,0.39614790155748425,2.7,1.0,0.0,1.0,6.815636254501801,3754115,Premier League,2015/2016,male,2015
3995,8529.0,0.468401922851448,2.8,1.0,0.0,1.0,5.977772215269086,3754116,Premier League,2015/2016,male,2015
3453,8426.0,0.4098029907429385,2.6,1.0,0.0,1.0,6.3445120185346076,3754117,Premier League,2015/2016,male,2015
3845,8401.0,0.45768360909415545,3.0,1.0,0.0,1.0,6.554746423927178,3754118,Premier League,2015/2016,male,2015
2978,8558.0,0.3479784996494508,2.5,1.0,0.0,1.0,7.184351914036266,3754119,Premier League,2015/2016,male,2015
3206,8510.0,0.3767332549941246,2.8,1.0,0.0,1.0,7.432314410480348,3754120,Premier League,2015/2016,male,2015
3008,8364.0,0.359636537541846,2.9,1.0,0.0,1.0,8.063696808510638,3754121,Premier League,2015/2016,male,2015
3194,8517.0,0.3750146765292944,2.7,1.0,0.0,1.0,7.1997182216656235,3754122,Premier League,2015/2016,male,2015
3333,8408.0,0.3964081826831589,2.6,1.0,0.0,1.0,6.558895889588959,3754123,Premier League,2015/2016,male,2015
3615,8639.0,0.4184512096307443,2.8,1.0,0.0,1.0,6.69134163208852,3754124,Premier League,2015/2016,male,2015
4049,8715.0,0.4646012621916236,2.7,1.0,0.0,1.0,5.811434922203014,3754125,Premier League,2015/2016,male,2015
3771,8476.0,0.4449032562529495,3.1,1.0,0.0,1.0,6.967806947759215,3754126,Premier League,2015/2016,male,2015
3780,8609.0,0.4390753862237194,2.6,1.0,0.0,1.0,5.921534391534391,3754127,Premier League,2015/2016,male,2015
3711,8513.0,0.4359215317749325,2.5,1.0,0.0,1.0,5.734977095122608,3754128,Premier League,2015/2016,male,2015
4090,8405.0,0.4866151100535396,3.0,1.0,0.0,1.0,6.165036674816625,3754129,Premier League,2015/2016,male,2015
2990,8538.0,0.3501991098617943,2.5,1.0,0.0,1.0,7.138795986622074,3754130,Premier League,2015/2016,male,2015
