t_wall,rho,loadavg
1784967164.8873293,0.8803,7.77
1784967165.3892765,0.88778,7.77
1784967165.8900821,0.87781,7.77
1784967166.3908455,0.87531,7.77
1784967166.8912926,0.885,7.77
1784967167.3932357,0.88279,7.77
1784967167.89403,0.8825,7.77
1784967168.3973122,0.87841,7.77
1784967168.899246,0.88308,7.63
1784967169.4000802,0.88279,7.63
1784967169.9022324,0.87562,7.63
1784967170.402999,0.88221,7.63
1784967170.9037616,0.88308,7.63
1784967171.4042532,0.88,7.63
1784967171.9050138,0.885,7.63
1784967172.4057994,0.87781,7.63
1784967172.906628,0.87531,7.63
1784967173.41025,0.88308,7.63
1784967173.9110332,0.885,7.66
1784967174.4118207,0.8806,7.66
1784967174.9123123,0.8775,7.66
1784967175.4131296,0.88221,7.66
1784967175.913909,0.8775,7.66
1784967176.4142632,0.88279,7.66
1784967176.9150338,0.88221,7.66
1784967177.4158654,0.8806,7.66
1784967177.9162626,0.88221,7.66
1784967178.417037,0.88,7.66
1784967178.918345,0.88308,7.61
1784967179.421248,0.87811,7.61
1784967179.922023,0.86935,7.61
1784967180.4227827,0.87282,7.61
1784967180.9253,0.88119,7.61
1784967181.4261045,0.8825,7.61
1784967181.9268796,0.88221,7.61
1784967182.427254,0.87781,7.61
1784967182.9280283,0.88,7.61
1784967183.428868,0.88529,7.61
1784967183.9292681,0.8803,7.64
1784967184.4303038,0.88,7.64
1784967184.931129,0.87781,7.64
1784967185.4342244,0.87811,7.64
1784967185.9349768,0.8825,7.64
1784967186.4382539,0.88337,7.64
1784967186.9390259,0.87811,7.64
1784967187.4398108,0.88279,7.64
1784967187.9402392,0.875,7.64
1784967188.441002,0.88221,7.64
1784967188.941853,0.8803,7.51
1784967189.442253,0.8825,7.51
1784967189.9430387,0.8797,7.51
1784967190.4452658,0.8933,7.51
1784967190.9460375,0.8825,7.51
1784967191.4468162,0.8875,7.51
1784967191.9472578,0.88,7.51
1784967192.4480245,0.88,7.51
1784967192.9488704,0.88529,7.51
1784967193.4523292,0.87593,7.51
1784967193.9531488,0.88221,7.31
1784967194.4539294,0.88778,7.31
1784967194.9542642,0.88,7.31
1784967195.45512,0.88221,7.31
1784967195.955936,0.8803,7.31
1784967196.4562736,0.8797,7.31
1784967196.9570441,0.88279,7.31
1784967197.4583037,0.87811,7.31
1784967197.959141,0.8825,7.31
1784967198.4602358,0.88,7.31
1784967198.9622703,0.88308,7.28
1784967199.4630332,0.8775,7.28
1784967199.963818,0.8803,7.28
1784967200.4642963,0.8803,7.28
1784967200.9650855,0.88529,7.28
1784967201.4672487,0.87781,7.28
1784967201.9680102,0.8825,7.28
1784967202.4687753,0.87719,7.28
1784967202.9692924,0.88308,7.28
1784967203.4700863,0.88442,7.28
1784967203.971242,0.88337,7.26
1784967204.4732919,0.87531,7.26
1784967204.9740803,0.8797,7.26
1784967205.4762928,0.88279,7.26
1784967205.9770887,0.8825,7.26
1784967206.4778473,0.8803,7.26
1784967206.978261,0.885,7.26
1784967207.4790306,0.88221,7.26
1784967207.981305,0.87871,7.26
1784967208.482082,0.88,7.26
1784967208.9842722,0.88308,7.16
1784967209.4862316,0.87841,7.16
1784967209.9870791,0.88191,7.16
1784967210.4878871,0.8803,7.16
1784967210.988259,0.89277,7.16
1784967211.4890437,0.88221,7.16
1784967211.9902914,0.885,7.16
1784967212.4932706,0.87531,7.16
1784967212.9940543,0.88279,7.16
1784967213.4948046,0.88,7.16
1784967213.9956217,0.87811,7.06
1784967214.497256,0.88308,7.06
1784967214.9979837,0.88529,7.06
1784967215.4983263,0.8775,7.06
1784967215.999143,0.8794,7.06
1784967216.5022519,0.88148,7.06
1784967217.0030246,0.88471,7.06
1784967217.503874,0.87719,7.06
1784967218.0052414,0.8806,7.06
1784967218.5059986,0.88221,7.06
1784967219.006782,0.88089,7.14
1784967219.5072527,0.8775,7.14
1784967220.0082679,0.88,7.14
1784967220.5112576,0.88806,7.14
1784967221.0122418,0.8803,7.14
1784967221.5130203,0.87719,7.14
1784967222.0138052,0.8803,7.14
1784967222.514266,0.88529,7.14
1784967223.0150383,0.87781,7.14
1784967223.5158665,0.8825,7.14
1784967224.0162446,0.87781,7.13
1784967224.5170336,0.88722,7.13
1784967225.020243,0.87345,7.13
1784967225.5210197,0.8825,7.13
1784967226.0218563,0.88279,7.13
1784967226.522245,0.8825,7.13
1784967227.0230076,0.88279,7.13
1784967227.5237546,0.8825,7.13
1784967228.024251,0.88279,7.13
1784967228.5250094,0.88,7.13
1784967229.026295,0.8825,7.2
1784967229.5271094,0.88,7.2
1784967230.0292056,0.87811,7.2
1784967230.529941,0.88221,7.2
1784967231.0302992,0.8825,7.2
1784967231.5310798,0.8825,7.2
1784967232.033264,0.8806,7.2
1784967232.5340326,0.88,7.2
1784967233.0347726,0.88279,7.2
1784967233.535531,0.88,7.2
1784967234.036513,0.88221,7.1
1784967234.5392694,0.88089,7.1
1784967235.0400815,0.8825,7.1
1784967235.5408576,0.88,7.1
1784967236.042769,0.88,7.1
1784967236.5435479,0.88557,7.1
1784967237.0453486,0.87811,7.1
1784967237.5492687,0.87624,7.1
1784967238.0500853,0.8825,7.1
1784967238.5508687,0.8825,7.1
1784967239.051296,0.87811,7.17
1784967239.552123,0.88471,7.17
1784967240.0532663,0.8806,7.17
1784967240.5540786,0.8775,7.17
1784967241.0562243,0.89055,7.17
1784967241.5569649,0.90476,7.17
1784967242.0572433,0.90547,7.17
1784967242.5580158,0.8875,7.17
1784967243.059356,0.87624,7.17
1784967243.560193,0.88279,7.17
1784967244.0622745,0.8803,7.08
1784967244.5630736,0.8797,7.08
1784967245.0638392,0.8825,7.08
1784967245.5642607,0.8825,7.08
1784967246.06528,0.87562,7.08
1784967246.5661545,0.88191,7.08
1784967247.068297,0.88337,7.08
1784967247.5690856,0.8825,7.08
1784967248.06984,0.87531,7.08
1784967248.5702639,0.885,7.08
1784967249.0710573,0.8797,7.15
1784967249.5732636,0.87841,7.15
1784967250.0740373,0.88471,7.15
1784967250.5748403,0.885,7.15
1784967251.0752468,0.87531,7.15
1784967251.576043,0.885,7.15
1784967252.0792656,0.88337,7.15
1784967252.5800443,0.8794,7.15
1784967253.080905,0.8803,7.15
1784967253.5812726,0.8825,7.15
1784967254.082041,0.88529,7.22
1784967254.5832753,0.87811,7.22
1784967255.0841424,0.87781,7.22
1784967255.584979,0.885,7.22
1784967256.0863678,0.88221,7.22
1784967256.5892832,0.88308,7.22
1784967257.09006,0.8825,7.22
1784967257.590874,0.8803,7.22
1784967258.0912557,0.8775,7.22
1784967258.5920496,0.8797,7.22
1784967259.0928612,0.88279,7.2
1784967259.593261,0.8803,7.2
1784967260.0940282,0.8775,7.2
1784967260.5965996,0.88529,7.2
1784967261.0973542,0.8825,7.2
1784967261.598193,0.87313,7.2
1784967262.0989978,0.88471,7.2
1784967262.599801,0.8825,7.2
