t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784998762403094747,346521,1092742219,518252735,312,13,1
1784998762403094747,346522,1077706878,2308342434,149,13,1
1784998762403094747,346536,7472629,9596982,49,1,1
1784998762403094747,346537,983971824,1369948417,92,13,1
1784998762403094747,346557,1060092555,668484823,118,13,1
1784998762403094747,346572,8556006,33723460,74,1,1
1784998762403094747,346573,7103297,48953180,88,1,1
1784998762403094747,346574,1069045483,852255409,108,13,1
1784998762403094747,346576,1082917976,1043116145,39,9,1
1784998762403094747,346578,10776334,420564693,127,1,1
1784998762403094747,346579,8623678,415905719,112,1,1
1784998762403094747,346580,1126575896,505334118,47,9,1
1784998762403094747,346614,9097348,245836991,59,1,1
1784998762403094747,346615,1187845717,862633983,47,9,1
1784998762403094747,346616,1103462238,716145372,45,9,1
1784998762403094747,346617,1138546956,498084589,46,9,1
1784998762922634482,346450,7367895,37070079,4,1,1
1784998762922634482,346457,1774002964,68316418,589,2,1
1784998762922634482,346463,7144070,12007976,5,1,1
1784998762922634482,346466,7275356,34889316,6,1,1
1784998762922634482,346473,6642236,109259131,6,1,1
1784998762922634482,346476,1819268549,1249622108,16156,1,1
1784998762922634482,346479,1372836478,82216542,553,2,1
1784998762922634482,346480,1517610301,1249652989,12588,1,1
1784998762922634482,346481,6836257,7970478,5,1,1
1784998762922634482,346486,6587284,14793846,5,1,1
1784998762922634482,346488,7029207,27204247,4,1,1
1784998762922634482,346492,1551795064,171448130,547,2,1
1784998762922634482,346493,1526346971,1451466024,13695,1,1
1784998762922634482,346496,1634415643,137039802,577,2,1
1784998762922634482,346497,7718139,55529436,7,1,1
1784998762922634482,346499,8489491,157997903,30,1,1
1784998762922634482,346501,1446827986,1350556381,12508,1,1
1784998762922634482,346508,1402097342,242547450,501,2,1
1784998762922634482,346509,8763707,25393231,20,1,1
1784998762922634482,346511,1763666447,1326604086,15723,1,1
1784998762922634482,346516,9276112,986189080,204,1,1
1784998762922634482,346517,9015007,112934244,157,1,1
1784998762922634482,346518,8906438,763656763,163,1,1
1784998762922634482,346520,9119904,16738924,109,1,1
1784998762922634482,346521,1092742219,518252735,312,13,1
1784998762922634482,346522,1077706878,2308342434,149,13,1
1784998762922634482,346536,7472629,9596982,49,1,1
1784998762922634482,346537,983971824,1369948417,92,13,1
1784998762922634482,346557,1060092555,668484823,118,13,1
1784998762922634482,346572,8556006,33723460,74,1,1
1784998762922634482,346573,7103297,48953180,88,1,1
1784998762922634482,346574,1069856498,852255409,115,13,1
1784998762922634482,346576,1082917976,1043116145,39,9,1
1784998762922634482,346578,10776334,420564693,127,1,1
1784998762922634482,346579,8623678,415905719,112,1,1
1784998762922634482,346580,1128331290,505334118,51,9,1
1784998762922634482,346614,9097348,245836991,59,1,1
1784998762922634482,346615,1187845717,862633983,47,9,1
1784998762922634482,346616,1103462238,716145372,45,9,1
1784998762922634482,346617,1138546956,498084589,46,9,1
1784998763444618558,346450,7367895,37070079,4,1,1
1784998763444618558,346457,1777809474,68316418,619,2,1
1784998763444618558,346463,7144070,12007976,5,1,1
1784998763444618558,346466,7275356,34889316,6,1,1
1784998763444618558,346473,6642236,109259131,6,1,1
1784998763444618558,346476,1819663502,1249622108,16157,1,1
1784998763444618558,346479,1376403081,82216542,589,2,1
1784998763444618558,346480,1518418525,1249652989,12593,1,1
1784998763444618558,346481,6836257,7970478,5,1,1
