bin_low_us,bin_high_us,ack,send,output_send,tti
76400,76450,4,1,1,3
76450,76500,0,1,1,5
76500,76550,1,1,1,2
76550,76600,3,2,2,6
76600,76650,4,2,2,1
76650,76700,5,1,1,0
76700,76750,10,6,6,3
76750,76800,2,3,3,2
76800,76850,2,1,1,3
76850,76900,1,2,2,8
76900,76950,3,2,2,2
76950,77000,3,4,4,4
77000,77050,3,0,0,3
77050,77100,6,1,1,5
77100,77150,4,4,3,3
77150,77200,0,4,4,3
77200,77250,5,2,2,1
77250,77300,4,3,3,2
77300,77350,2,3,3,2
77350,77400,3,4,3,4
77400,77450,2,4,5,2
77450,77500,1,1,1,3
77500,77550,1,3,2,2
77550,77600,2,1,2,2
77600,77650,2,3,3,1
77650,77700,7,3,4,3
77700,77750,1,3,3,2
77750,77800,0,1,1,2
77800,77850,1,3,3,9
77850,77900,2,1,1,3
77900,77950,2,1,1,2
77950,78000,2,1,1,2
78000,78050,3,1,1,2
78050,78100,4,2,2,3
78100,78150,1,1,1,6
78150,78200,1,5,4,1
78200,78250,2,3,4,2
78250,78300,0,3,3,4
78300,78350,0,1,1,1
78350,78400,3,1,1,1
78400,78450,1,1,1,6
78450,78500,6,2,2,1
78500,78550,3,1,1,1
78550,78600,1,1,1,0
78600,78650,2,3,3,3
78650,78700,2,4,4,3
78700,78750,2,2,2,3
78750,78800,5,3,3,3
78800,78850,0,1,1,4
78850,78900,4,4,4,0
78900,78950,1,2,2,5
78950,79000,1,1,1,4
79000,79050,2,2,2,2
79050,79100,6,3,3,2
79100,79150,7,3,3,1
79150,79200,3,3,2,0
79200,79250,1,5,6,1
79250,79300,1,0,0,1
79300,79350,5,1,1,2
79350,79400,2,1,1,3
79400,79450,5,1,1,5
79450,79500,4,3,3,4
79500,79550,4,5,4,2
79550,79600,5,1,2,3
79600,79650,1,3,3,4
79650,79700,1,0,0,1
79700,79750,1,3,3,0
79750,79800,5,5,5,2
79800,79850,4,4,4,3
79850,79900,2,2,2,1
79900,79950,3,3,3,6
79950,80000,0,3,3,3
80000,80050,1,1,1,3
80050,80100,3,5,4,2
80100,80150,1,2,3,2
80150,80200,5,2,2,1
80200,80250,2,2,2,3
80250,80300,3,3,3,2
80300,80350,7,2,2,2
80350,80400,4,4,4,5
80400,80450,3,2,2,2
80450,80500,2,3,2,4
80500,80550,7,3,4,1
80550,80600,3,1,1,2
80600,80650,0,3,3,4
80650,80700,1,4,4,4
80700,80750,1,6,6,2
80750,80800,0,2,2,1
80800,80850,3,3,3,1
80850,80900,2,6,6,1
80900,80950,1,1,1,3
80950,81000,1,1,1,1
81000,81050,2,2,2,2
81050,81100,3,0,0,0
81100,81150,1,4,4,2
81150,81200,1,3,3,2
81200,81250,0,4,4,2
81250,81300,4,2,2,1
81300,81350,1,3,3,7
81350,81400,0,3,2,9
81400,81450,5,3,4,3
81450,81500,1,6,5,3
81500,81550,7,2,3,1
81550,81600,12,6,5,1
81600,81650,5,6,5,0
81650,81700,7,15,8,1
81700,81750,6,10,13,2
81750,81800,4,5,8,2
81800,81850,5,15,14,4
81850,81900,5,18,17,2
81900,81950,3,10,13,3
81950,82000,3,20,17,2
82000,82050,2,9,6,0
82050,82100,5,4,10,1
82100,82150,2,9,7,4
82150,82200,3,2,5,1
82200,82250,1,6,6,0
82250,82300,1,2,3,1
82300,82350,0,8,8,2
82350,82400,3,3,3,2
82400,82450,2,3,3,4
82450,82500,1,1,1,1
82500,82550,2,2,2,2
82550,82600,2,2,2,0
82600,82650,2,2,2,2
82650,82700,2,1,1,0
82700,82750,1,2,2,3
82750,82800,6,2,2,3
82800,82850,0,1,1,2
