run_id,condition,gate,n_events,neg_ack,ms_deleted,over_0.1,over_0.25,over_0.5,over_1
concurrency_n12_20260724_062751_kafka_feed7_rep8,kafka_n12_feed7,pass,94,0,38,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep9,kafka_n12_feed7,pass,94,0,43,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed8_rep1,kafka_n12_feed8,fail,143,3,61,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep10,kafka_n12_feed8,fail,143,3,66,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep11,kafka_n12_feed8,fail,143,8,75,143,143,143,8
concurrency_n12_20260724_062751_kafka_feed8_rep12,kafka_n12_feed8,fail,143,3,58,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep13,kafka_n12_feed8,fail,143,3,85,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep14,kafka_n12_feed8,fail,143,3,68,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep15,kafka_n12_feed8,fail,143,3,61,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep2,kafka_n12_feed8,fail,143,3,70,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep3,kafka_n12_feed8,fail,143,3,61,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep4,kafka_n12_feed8,fail,143,3,67,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep5,kafka_n12_feed8,fail,143,3,71,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep6,kafka_n12_feed8,fail,143,3,71,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep7,kafka_n12_feed8,fail,143,3,49,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep8,kafka_n12_feed8,fail,143,3,62,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed8_rep9,kafka_n12_feed8,fail,143,3,55,143,143,143,3
concurrency_n12_20260724_062751_kafka_feed9_rep1,kafka_n12_feed9,pass,127,1,54,127,127,126,1
concurrency_n12_20260724_062751_kafka_feed9_rep10,kafka_n12_feed9,pass,127,1,50,127,127,127,1
concurrency_n12_20260724_062751_kafka_feed9_rep11,kafka_n12_feed9,pass,127,1,57,127,127,127,1
concurrency_n12_20260724_062751_kafka_feed9_rep12,kafka_n12_feed9,pass,127,1,54,127,127,127,1
concurrency_n12_20260724_062751_kafka_feed9_rep13,kafka_n12_feed9,fail,127,2,69,127,127,127,2
concurrency_n12_20260724_062751_kafka_feed9_rep14,kafka_n12_feed9,pass,127,1,64,127,127,125,1
concurrency_n12_20260724_062751_kafka_feed9_rep15,kafka_n12_feed9,pass,127,1,56,127,127,127,1
concurrency_n12_20260724_062751_kafka_feed9_rep2,kafka_n12_feed9,pass,127,1,60,127,127,127,1
concurrency_n12_20260724_062751_kafka_feed9_rep3,kafka_n12_feed9,fail,127,4,63,127,127,127,4
concurrency_n12_20260724_062751_kafka_feed9_rep4,kafka_n12_feed9,fail,127,3,70,127,127,127,3
concurrency_n12_20260724_062751_kafka_feed9_rep5,kafka_n12_feed9,pass,127,1,63,127,127,127,1
