t_wall,rho,loadavg
1784966378.7548287,0.75373,6.24
1784966379.2562761,0.75062,6.24
1784966379.7571015,0.76633,6.24
1784966380.2592351,0.75931,6.24
1784966380.7622657,0.74876,6.24
1784966381.2630048,0.75561,6.24
1784966381.7632568,0.75,6.24
1784966382.2640085,0.745,6.24
1784966382.7647414,0.79,6.24
1784966383.2653372,0.78,6.24
1784966383.7661095,0.76808,6.3
1784966384.26689,0.805,6.3
1784966384.7672448,0.74813,6.3
1784966385.2680142,0.75373,6.3
1784966385.7688363,0.7475,6.3
1784966386.270244,0.75062,6.3
1784966386.7710457,0.7525,6.3
1784966387.2742856,0.75248,6.3
1784966387.7750754,0.75439,6.3
1784966388.2758186,0.745,6.3
1784966388.7765825,0.755,6.27
1784966389.2782578,0.75373,6.27
1784966389.7790346,0.75062,6.27
1784966390.2797892,0.7525,6.27
1784966390.7805593,0.7581,6.27
1784966391.2812636,0.74,6.27
1784966391.782101,0.75561,6.27
1784966392.2842581,0.75373,6.27
1784966392.784999,0.75188,6.27
1784966393.2872765,0.74752,6.27
1784966393.7880561,0.75689,6.33
1784966394.2888415,0.74876,6.33
1784966394.7902384,0.75,6.33
1784966395.2910023,0.7525,6.33
1784966395.7918088,0.7525,6.33
1784966396.2942674,0.74938,6.33
1784966396.7950363,0.74937,6.33
1784966397.2958274,0.75062,6.33
1784966397.7982411,0.75931,6.33
1784966398.2989912,0.76,6.33
1784966398.799727,0.7525,6.47
1784966399.301245,0.76368,6.47
1784966399.8020635,0.7575,6.47
1784966400.3028665,0.74813,6.47
1784966400.8042893,0.75373,6.47
1784966401.305138,0.75,6.47
1784966401.8059053,0.7475,6.47
1784966402.3092442,0.75373,6.47
1784966402.810007,0.7525,6.47
1784966403.3122478,0.74564,6.47
1784966403.8132315,0.75312,6.35
1784966404.314025,0.75,6.35
1784966404.8152432,0.75931,6.35
1784966405.3160276,0.75439,6.35
1784966405.8172395,0.74627,6.35
1784966406.318531,0.75062,6.35
1784966406.820171,0.75622,6.35
1784966407.3209302,0.74937,6.35
1784966407.8237936,0.75124,6.35
1784966408.3257866,0.75373,6.35
1784966408.8270845,0.75062,6.16
1784966409.3280778,0.745,6.16
1784966409.8292477,0.76119,6.16
1784966410.3300138,0.75439,6.16
1784966410.830772,0.75373,6.16
1784966411.3322475,0.7525,6.16
1784966411.833029,0.75,6.16
1784966412.3338196,0.74876,6.16
1784966412.8342626,0.75,6.16
1784966413.3352675,0.75622,6.16
1784966413.8360512,0.74185,6.31
1784966414.3368177,0.7575,6.31
1784966414.838257,0.82793,6.31
1784966415.3390446,0.75561,6.31
1784966415.839822,0.82957,6.31
1784966416.3413005,0.74876,6.31
1784966416.8420856,0.7575,6.31
1784966417.342873,0.74564,6.31
1784966417.843288,0.74627,6.31
1784966418.3440595,0.755,6.31
1784966418.8448951,0.75188,6.28
1784966419.3452601,0.75312,6.28
1784966419.8460295,0.75188,6.28
1784966420.3468153,0.755,6.28
1784966420.8472686,0.75312,6.28
1784966421.3481038,0.75062,6.28
1784966421.8489852,0.75062,6.28
1784966422.3497963,0.7581,6.28
1784966422.8505979,0.74314,6.28
1784966423.352372,0.7606,6.28
1784966423.8531888,0.74813,6.26
1784966424.356262,0.75434,6.26
1784966424.8571472,0.75062,6.26
1784966425.3603327,0.75373,6.26
1784966425.8611662,0.75312,6.26
1784966426.3642604,0.75,6.26
1784966426.865031,0.75188,6.26
1784966427.3658283,0.74314,6.26
1784966427.8672676,0.7581,6.26
1784966428.3680627,0.81297,6.26
1784966428.8688142,0.765,6.24
